SAL2 Name,Children in Welfare-Dependent and Other Low Income Families - Count,Children in Welfare-Dependent and Other Low Income Families - Total,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Total,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Total,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Total,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Total 
Toorak,89.24972263,1778.431827,127.9246024,9229.628957,null,#VALUE!,172.5494638,9229.628965,59.49981509,3195.14007
Abbotsford,72.62104133,751.8327458,105.733226,4487.041651,9.406870639,669.7335449,138.092861,4487.041651,45.15297907,1138.607622
Carlton North - Princes Hill,131.7691335,1141.940262,182.546411,6733.153873,15.10728919,1115.340531,247.172037,6733.153875,79.73291517,1885.47362
Fitzroy North,182.2308665,1579.252727,252.453589,9311.653137,20.89271081,1542.46648,341.827963,9311.653137,110.2670848,2607.526379
Richmond (Vic.),828,3230.55,727,23383.45,60,3056.45,927,23383.45,493,6158
Yarra - North,120.3789587,1246.261984,175.266774,7437.863619,15.59312936,1110.171725,228.907139,7437.863619,74.84702093,1887.392378
Balwyn,218.0258943,3041.024736,149.5912072,10532.73225,15.35393622,2560.529879,201.7945903,10532.73225,143.4496327,4197.766163
Ashburton (Vic.),227,1873.1,110,5160.9,null,#VALUE!,143,5160.900001,141,1966
Hawthorn East,91.86054789,2102.010299,132.2475129,11186.48904,11.87851912,2453.401783,182.5332439,11186.48905,63.74805263,3150.183271
Kew,214.620948,4519.510079,194.1057104,16537.01426,null,#VALUE!,258.0185662,16537.01426,144.3957114,5939.16131
Balwyn North,278.9741057,3891.130267,191.4087928,13477.11274,19.64606378,3276.315115,258.2054097,13477.11275,183.5503673,5371.233837
Camberwell,182.238877,4123.577168,127.6229444,13585.91761,null,#VALUE!,179.4523498,13585.91761,119.2633629,5273.781323
Surrey Hills (West) - Canterbury,144.761123,3275.556081,101.3770556,10791.94914,null,#VALUE!,142.5476502,10791.94914,94.73663708,4189.218676
Glen Iris - East,135,3668.203739,97,10998.79627,null,#VALUE!,138,10998.79627,88,4305
Hawthorn,140.1394521,3206.75827,201.7524871,17065.74239,18.12148088,3742.829645,278.4667561,17065.74238,97.25194737,4805.816728
Bulleen,240.2137749,1758.693478,191.1298457,7072.323458,16.36130975,1292.318942,247.6507339,7072.323458,152.457659,3188.224313
Doncaster,405.7862251,2970.910339,322.8701543,11947.07272,27.63869025,2183.07724,418.3492661,11947.07273,257.542341,5385.775687
Doncaster East,719,4860.17358,452,18349.82642,45,3565.82642,573,18349.82642,431,7784
Templestowe,330.3942094,2867.353194,196.9015995,10777.26019,22.80498751,1970.641476,265.8727813,10777.26019,208.0259837,4711.732909
Kew East,57.37905195,1208.293999,51.89428963,4421.181664,null,#VALUE!,68.98143378,4421.181665,38.60428863,1587.838691
Cranbourne West,588.5568954,2423.598722,352.431192,6664.205415,77.96301981,1313.194379,465.8609954,6664.205414,306.1007089,2319.719359
Templestowe Lower,263.6057906,2287.724433,157.0984005,8598.662183,18.19501249,1572.280899,212.1272187,8598.662183,165.9740163,3759.267091
Blackburn,416.5573059,4077.796104,286.1794324,12952.81363,28.68313217,2332.883938,376.7920545,12952.81363,256.1925215,5295.949223
Blackburn South,222.4426941,2177.553817,152.8205676,6916.836454,15.31686783,1245.766143,201.2079455,6916.836455,136.8074785,2828.050777
